,Sentences,Labels
2323,et godt nytår ønsker jeg for hele det grønlandske folk  for hvert enkelt hjem i det fjerne nord,0
4654,jeg er selv født med det danske samfunds muligheder inden for rækkevidde,1
2343,lad os gå ind i det nye år med øjnene åbne for  at vi alle er mennesker på godt og ondt,0
4839,men jeg ser sådan på det  at det er til gavn for os alle sammen  at danmark hænger sammen,1
3409,sådan må det aldrig blive i danmark,1
1290,hvad nu,0
6477,vi er simpelthen ikke nok til at trække læsset,1
1459,en gold og afvisende nationalisme  der giver sig udslag i fremmedhad og ringeagt for mennesker  der er anderledes  kan og skal vi tage afstand fra,0
1694,dansk opbakning har stor betydning for det ukrainske folk,0
2983,selv kan jeg ikke se tilbage på dette år uden at takke for al den deltagelse og hjertelige omsorg  der fra alle sider er blevet vist mig i sommer under min sygdom,0
5834,en modkultur,1
6473,vi har ikke lov at blive trætte,1
1858,der skal være plads til mange meninger  plads til at være enige  og til ikke at være enige,0
80,på billede efter billede optræder familiens medlemmer  dens venner og bekendte  til hverdag og fest  ved arbejdet og på ferie,0
3772,og hvor de medarbejdere  der kommer hos dig  skal være kendte ansigter,1
2667,mange danske fejrer nytåret udenfor danmark,0
5945,det gør det svært at rekruttere,1
2587,på hospitaler  på plejehjem og på institutioner er personale på vagt alle døgnets timer og alle årets dage,0
2514,vi fornemmer alle  at vor verdensdel  europa  er ved at blive hel igen,0
1784,drømmen var et europa  hvor fredelige aftaler skulle få handelen til at blomstre og krig og ødelæggelse være et overstået kapitel,0
1973,dér gør de tjeneste for danmark  og det gør mig stolt at se  hvor engageret de begge arbejder for at fremme danmarks interesser,0
1203,den dybe sorg  der ramte os  følte vi  at hele folket tog del i  og jeg kan ikke begynde denne min første nytårshilsen uden at bringe en tak for al den varme og sympati  som blev prins henrik og mig  men ikke mindst min moder  dronning ingrid  til del,0
4931,det vil kræve noget af os alle sammen,1
3173,en hel del frivillige vælger også i år at fejre nytårsaften ved at rykke ind på herberger og andre opholdssteder for at gøre aftenen festlig for dem  der er mest alene og har det svært,0
1932,almindelige borgere hjalp helt spontant deres medmennesker,0
547,så bliver vi chokerede  når vi hører om børn eller ældre mennesker  der vantrives eller om unge mennesker  der ikke kan finde noget ståsted,0
3747,i gik på gaden,1
202,gør tidernes ugunst  at man ikke kan finde arbejde inden for sit felt  skal man måske finde nye veje  det har mange prøvet i tidens løb,0
2214,alle slags nyheder står ligefrem i kø for at påkalde sig vores opmærksomhed,0
5506,afghanistan må ikke igen blive et fristed for terrorisme,1
3532,det bliver en hovedopgave i 1985  at skaffe endnu flere jobs og uddannelsestilbud til de unge,1
2230,det er dér  hvor  de  bliver til  vi  og  dem  bliver til  os    danskerne  vi danskere hvad er det at være dansk,0
1002,når vi fastholder mindet om tidligere tider  er det ikke for med længsel at se tilbage på  hvad vi engang formåede,0
2010,hvert år er det en glæde for prinsgemalen og mig at komme på besøg rundt omkring i landet,0
3212,for det er en forunderlig tid  vi lever i  vi kan kortlægge både det store og det små,0
3674,de nye danskere kan bidrage positivt  hvis vi skaber muligheder og tør stille krav,1
624,vi ser helst  at vort liv er fuldt af udfordringer  men de må endelig ikke blive for krævende eller medføre uberegnelige konsekvenser,0
1852,min mand og jeg glæder os til i sommer atter at gense grønland  og vi håber  at der heller ikke vil gå for lang tid  før vi igen kan besøge færøerne,0
5060,handlekraft gør os stærke,1
1808,og det gælder de mange  der   udsendt eller på eget initiativ   tager del i humanitært hjælpearbejde,0
4243,jeg arbejder videre,1
609,derfor sender jeg en særlig nytårshilsen til enhver  som til vands  til lands eller i luften passer deres dont ganske som sædvanlig,0
804,vi kan på samme måde sige  det er også din natur    det er også dit land,0
800,der lægges mærke til  at danmark er med   og lægges vægt på det,0
5968,det ved de af os  der kan huske den tid,1
894,måske så vi for naivt og optimistisk på økonomien i de glade tresser  og måske er det derfor  krisen ikke blot spores på priser og arbejdsmarked  men føles som et pres  der giver mismod og skuffelse  også hos dem  der ikke rammes direkte,0
5953,og man måtte ikke tale for længe i den,1
4862,tillid,1
4667,vi tænker på året  der gik,1
4759,hvor vi betaler en stor del af det  vi tjener  i skat   og får læger og børnehaver til gengæld,1
138,vi mennesker lever i gensidige afhængighedsforhold,0
4072,overalt i samfundet har vi oplevet sammenhold  hjælpsomhed og rørende øjeblikke i et omfang  vi ikke har set i danmark før,1
99,vi lader os heller ikke skræmme til at være os selv nok  men fortsætter med at deltage i det internationale samfunds mange aktiviteter og forpligtelser,0
3138,er det mon  fordi også de unge ubevidst aner  at vor civilisation er blevet gammel  at så alt for mange lader sig opsluge af narkotika,0
3883,at undgå atomkrig er den største opgave  vi mennesker er stille overfor,1
4131,derfor skal vi fortsat skaffe dem bedre arbejdsvilkår,1
254,i små fiskerbåde måtte de flygte over øresund skjult i fugtige og snævre lastrum og med dødsangsten som medrejsende,0
3580,samarbejde i norden  samarbejde med det øvrige europa  det er naturligvis vigtigt for fremtiden,1
2675,af hjertet  godt nytår 2016,0
4045,af håndværkere  der bygger vores huse,1
2470,men på et væsentligt punkt kommer den til kort,0
5273,og bliv ved med at presse os voksne,1
1884,her udfører de deres opgaver med dygtighed og stort mod  men til stadighed  trods alle farer med stor ansvarsfølelse og godt humør,0
5593,målet er  at de internationale tropper skal ud af irak,1
